 ,Area,Mean,Min,Max,Perim.,Circ.,AR,Round,Solidity
14068,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14069,0.052,0,0,0,0.781,1.000,2.000,0.500,1.000
14070,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14071,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14072,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14073,0.157,0,0,0,2.060,0.465,1.815,0.551,0.545
14074,0.157,0,0,0,1.602,0.769,2.778,0.360,0.706
14075,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14076,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14077,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14078,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14079,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14080,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14081,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
14082,0.288,0,0,0,3.946,0.232,2.347,0.426,0.386
14083,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14084,0.052,0,0,0,0.687,1.000,2.000,0.500,1.000
14085,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14086,0.052,0,0,0,0.781,1.000,2.000,0.500,1.000
14087,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14088,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14089,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14090,0.052,0,0,0,0.781,1.000,2.000,0.500,1.000
14091,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14092,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14093,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14094,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14095,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14096,0.079,0,0,0,1.373,0.524,1.567,0.638,0.600
14097,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14098,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14099,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14100,0.157,0,0,0,2.478,0.322,2.227,0.449,0.522
44609,0.026,0,0,0,0.458,1.000,2.227,1.000,0.079,0,0,0,1.000,0.916,1.000,1.000
14102,1.464,0.026,0,0,0,683,0.458,1.000,1.000,1.000,0.8571.000
14103,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14104,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
14105,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14106,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14107,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14108,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14109,0.131,0,0,0,1.563,0.674,2.749,0.364,0.769
14110,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14111,0.471,0,0,0,5.320,0.209,2.491,0.401,0.434
14112,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14113,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
14114,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14115,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14116,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14117,0.210,0,0,0,3.528,0.212,1.719,0.582,0.381
14118,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14119,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14120,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14121,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14122,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14123,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14124,0.131,0,0,0,1.373,0.873,1.496,0.668,0.714
14125,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14126,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14127,0.052,0,0,0,0.781,1.000,2.000,0.500,1.000
14128,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14129,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14130,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14131,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14132,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14133,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14134,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14135,0.052,0,0,0,0.687,1.000,2.000,0.500,1.000
14136,0.262,0,0,0,2.707,0.449,1.584,0.631,0.571
14137,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14138,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
14139,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14140,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14141,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14142,0.052,0,0,0,0.687,1.000,2.000,0.500,1.000
14143,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14144,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14145,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14146,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14147,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14148,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14149,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14150,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14151,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
14152,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14153,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
